name,party,person_id,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21,vote_22,vote_23,vote_24,vote_25,vote_26,vote_27,vote_28,vote_29,vote_30,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18,comment_19,comment_20,comment_21,comment_22,comment_23,comment_24,comment_25,comment_26,comment_27,comment_28,comment_29,comment_30
"Aivaras Vasylius","Lietuvos Respublikos liberalų sąjūdis",953,4,4,1,1,1,1,4,1,4,1,4,4,4,4,1,4,4,1,4,1,4,1,1,4,4,1,4,4,1,1,"Minimali alga turėtų būti susieta su vidutiniu darbo užmokesčiu, nustatant procentinę išraišką.","Įvairių formų socialinės paramos išmokos turėtų būti peržiūrimos, dalies atsisakant, bet didinant realias žmonių pajamas. Parama turėtų būti skiriama tik tiems, kam jos tikrai reikia.","Netinkama antra sakinio dalis, nes paslaugos ir funkcijos dažnai yra dubliuojamos, perteklinė biurokratija kuria nuolatines viešojo sektoriaus didėjimo aplinkybes.","Valstybė turi gyventi pagal pajamas. Ekonomikos augimo metu turėtų būti kaupiamas rezervas.","Turėtų būti atstatytas iki krizės buvęs 18 proc. tarifas, atsisakant lengvatinių tarifų.","Reguliavimas būtinas tik monopolijai, oligopolijai, monopsonijai.","Turi būti sudarytos lankstesnės sutarčių sudarymo sąlygos, leidžiančios darbuotojui ir darbdaviui susitarti dėl darbo sutarties terminų, darbo laiko ir socialinių garantijų.","Lietuva neviršija taršos limitų, todėl pardavinėja taršos kvotas. Aš taršos mažinimą siečiau su inovacijų ir atsinaujinančių energijos šaltinių plėtra, tai sudarytų sąlygas mokslo ir verslo plėtrai, kas ilgalaikėje perspektyvoje didintų biudžeto pajamas.","Ne bausmės griežtumas, o jos neišvengiamumas turi didesnį poveikį. Sistema turėtų nuteistuosiems didinti socialinius ir darbinius įgūdžius bei mažinant visuomenei jų išlaikymo našta.",,,"Turėtume sudaryti sąlygas imigruoti žmonėms, kurie nori integruotis į mūsų visuomenę, ypatingai tiems, kurie baigė studijas Lietuvoje.","Turėtų būti aiškiai apibrėžtas visuomenės saugumas ir nustatyta aiški tvarka numatanti konkrečias aplinkybes dėl, kurių būtų leidžiama kištis į privatų gyvenimą.",,,,,,,,,,,,,,,"Lietuva yra ES dalis. Labiau palaikyčiau ir skatinčiau humanitarines krizes spręsti jų kilmės šalyse.","Po 14 metų.","Neskaidrumo rizika tokia pat kaip ir dabar."
"Andrius Bagdonas","Lietuvos Respublikos liberalų sąjūdis",1257,4,4,1,4,1,1,2,2,2,1,4,4,3,4,1,4,4,1,4,2,4,1,3,4,3,1,4,4,4,1,,,"Viešasis sektorius ir biurokratinis aparatas yra neefektyvus, jam reikalingi privačiam sektoriui būdingi pokyčiai.",,"Savo programoje siūlome sumažinti PVM iki 18%",,,,,"Globaliame pasaulyje svarbu suteikti piliečiams teisę išsaugoti savo tikrą vardą bei pavardę, tokia praktika taikoma daugelyje šalių.",,,,,,"Tokie pareiškimai neatitinka pažangios ir etiškos medicinos normų.",,,"Visame pasaulyje nacistinė simbolika yra draudžiama jau daugybę metų, sovietinė simbolika turėtų būti vertinama tokiu pačiu principu.",,,,"Okupacijos padaryta žala yra skausminga, tačiau šis klausimas yra jautrus ir tuo keliu eiti reikia nuosekliai, neskubant, apdairiai",,,"Turėti dvigubą pilietybę yra natūrali daugelio šalių suteikiama praktika, kurią kaip moderni, globali ir daug emigrantų turinti valstybė turėtų taikyti Lietuva",,,,"Internetinis balsavimas pasiteisino Estijoje, manau, kad ir Lietuva yra pajėgi įvesti internetinį balsavimą nesumažindama rinkimų skaidrumo."
"Arminas Lydeka","Lietuvos Respublikos liberalų sąjūdis",66,3,4,3,2,4,1,3,3,3,2,4,4,2,3,1,4,4,1,4,1,4,1,2,4,3,1,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arūnas Gelūnas","Lietuvos Respublikos liberalų sąjūdis",1265,4,4,2,2,2,1,2,1,3,1,3,3,2,3,2,3,3,1,3,2,4,1,2,3,4,2,3,2,4,2,,,,,,,"Nepaisant to, darbuotojas turėtų turėti aiškiai apibrėžtas teises ir garantijas, teisines galimybes įrodyti, jog buvo atleistas be pagrindo",,,"Tai galioja tik lotyniško alfabeto raidėms",,"Ji gali ir turėtų būti kontroliuojama, neįsileidžiant pavojingų Lietuvai asmenų, bet darbštiems ir kūrybingiems durys turėtų būti plačiai atvertos.","Piliečių sekimas atskirais atvejais yra priimtinas ir pateisinamas, bet tai turi būti išimtys, o ne paplitusi praktika","TAIKIOS protesto akcijos neturėtų būti ribojamos; draudžiamos tik tos, kur pasireiškia smurtas arba panieka šalies įstatymams",,,"Restauruotos - taip.",,"Labai svarbus kontekstas, kuriami ši simbolika naudojama","Jei sankcijos padeda atgrąsyti šią šalį nuo agresijos kaimynų atžvilgiu - taip.","Sovietmetis buvo normalaus gyvenimo karikatūra: statybos sudarkė mūsų miestus, o gamyklas vis tiek teko griauti ir keisti naujomis",,"Tokie reikalavimai vis dėlto turi būti teikiami atsižvelgiant į Rusijoje vyraujančią politinę situaciją; nemanau, kad jie duotų bent menkiausios naudos šiuo metu.","Nebent ateityje - jei Rusija pasuktu demokratijos keliu",,"Dėl Vakaruose (Europos Sąjungoje ir jos sąjungininkėse, JAV, Australijoje, N.Zelandijoje) gyvenančių tautiečių nėra abejonės.)","Nesu tikras, kad praėjus tiek mažai laiko po jo įvedimo, galima matyti aiškias pasekmes","Kvotų nustatymas vis dėlto turėtų būti derybų procesas, o ne automatinis","Taip būtų daroma prielaida, jog Lietuvos piliečiai visai neturi politinių pačiūrų ir ir yra pajėgūs apsispręsti tik dėl asmenų, o ne dėl ideologijų ir programų","Pliusų, manyčiau, būtų gerokai daugiau nei minusų"
"Arvydas Martinkėnas","Lietuvos Respublikos liberalų sąjūdis",1283,2,3,1,3,1,3,2,2,2,1,3,3,2,4,2,4,4,1,4,2,4,1,2,3,4,1,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asta Ulinskaitė","Lietuvos Respublikos liberalų sąjūdis",1288,4,4,2,2,4,1,2,3,3,1,4,4,2,3,1,4,4,1,4,2,4,1,3,4,3,1,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aušrinė Armonaitė","Lietuvos Respublikos liberalų sąjūdis",1263,3,3,1,2,2,2,2,2,3,1,3,4,2,4,1,3,4,1,3,2,4,1,2,4,3,1,3,3,3,0,,,,"Vis dėlto diržų veržimasis pirmiausiai turi būti įgyvendintas viešojo sektoriaus optimizavimo, ne mokesčių kėlimo sąskaita.","Reikia sumažinti PVM tarifą apskritai, ne tik pagrindiniams maisto produktams.",,"Lankstesni darbo santykiai turi būti derinami su socialinės politikos priemonėmis, kurios taikomos žmogui netekus darbo. Kitaip tariant, esu už lankstisaugą (angl. flexicurity).",,,,,,,,,,,,,,,,,,"Tačiau turi būti sudaryta galimybė pasirinkti – ar tarnauti kariuomenėje, ar savanoriauti nevyriausybinėse, visuomeninėse organizacijose ar iniciatyvose.",,,,,"Nekorektiškai suformuluotas klausimas"
"Benediktas Krasniauskas","Lietuvos Respublikos liberalų sąjūdis",1366,4,4,2,4,3,1,2,3,3,1,4,3,2,3,1,4,3,2,4,2,3,2,2,4,2,2,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benjaminas Mašalaitis","Lietuvos Respublikos liberalų sąjūdis",1287,4,4,1,2,4,1,3,4,2,1,4,3,2,4,1,4,4,1,4,1,4,1,4,4,4,1,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dainius Žilius","Lietuvos Respublikos liberalų sąjūdis",1106,4,4,2,1,4,1,1,1,1,1,4,4,1,4,1,4,4,1,1,2,4,1,1,4,4,1,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
